"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"Q401","SOT-669","38.6mm","31.0875mm","38.6mm","33.35mm","38.6mm","33mm","T","0.00","PSMN010-80YL"
"Q400","SOT-669","44.1375mm","33mm","46.4mm","33mm","46.05mm","33mm","T","270.00","PSMN010-80YL"
"R420","0603","28mm","31.4mm","28mm","31.4mm","28mm","30.55mm","B","90.00","10K"
"R419","0603","11mm","35.2mm","11mm","35.2mm","11mm","36.05mm","T","270.00","12K"
"R300","0603","8.2485mm","3.6mm","8.2485mm","3.6mm","8.2485mm","4.45mm","B","270.00","1K"
"D300","WL-SMSW,_1204","10.2485mm","1.675mm","10.2485mm","1.4mm","8.4985mm","1.4mm","B","360.00","1204, Green"
"C100","C-0805","40.182mm","63.25mm","40.182mm","63.25mm","41.232mm","63.25mm","B","180.00","100nF"
"C101","C-1210","45.982mm","53.15mm","45.982mm","53.15mm","45.982mm","51.65mm","B","90.00","2.2uF"
"C102","C-0805","43.382mm","53.75mm","43.382mm","53.75mm","43.382mm","52.7mm","B","90.00","100nF"
"C103","C-1206","37.482mm","51.95mm","37.482mm","51.95mm","35.982mm","51.95mm","B","360.00","22uF"
"C104","C-0805","39.182mm","43.85mm","39.182mm","43.85mm","40.232mm","43.85mm","B","180.00","100nF"
"C105","C-1206","34.182mm","46.75mm","34.182mm","46.75mm","34.182mm","48.25mm","B","270.00","22uF"
"C106","C-0805","36.082mm","46.75mm","36.082mm","46.75mm","36.082mm","45.7mm","B","90.00","100nF"
"C107","C-1210","34.082mm","40.95mm","34.082mm","40.95mm","32.582mm","40.95mm","B","360.00","47uF"
"D100","SUB-SMA","41.282mm","53.2501mm","41.282mm","53.25mm","41.282mm","51.8501mm","B","90.00","SS110L"
"IC100","SOT-23-6","42.282mm","58.35mm","42.282mm","58.35mm","41.282mm","59.6001mm","B","270.00","LMR16006X"
"IC101","SOT-23-6","39.082mm","46.75mm","39.082mm","46.75mm","37.832mm","45.75mm","B","360.00","TPS563201"
"L100","WE-PD_1050_Metal_Base","34.682mm","58.35mm","34.682mm","58.35mm","39.182mm","58.35mm","B","90.00","WE-PD, 7447714221"
"L101","WE-PD_7332_Metal_Base","29.3813mm","46.7505mm","29.382mm","46.75mm","29.3813mm","49.9505mm","B","270.00","WE-PD, 744778002"
"LED100","0603","16.6mm","58.8mm","16.6mm","58.8mm","16.6mm","57.95mm","T","270.00","Green LED"
"R100","0603","45.482mm","60.85mm","45.482mm","60.85mm","46.332mm","60.85mm","B","180.00","102K"
"R101","0603","45.482mm","62.25mm","45.482mm","62.25mm","46.332mm","62.25mm","B","180.00","8.45K"
"R102","0603","43.082mm","46.85mm","43.082mm","46.85mm","43.082mm","46mm","B","90.00","33.2K"
"R103","0603","41.782mm","46.85mm","41.782mm","46.85mm","41.782mm","47.7mm","B","270.00","10K"
"R104","0603","16.6mm","55.6mm","16.6mm","55.6mm","16.6mm","54.75mm","T","90.00","470R"
"U200","LQFP32","12.0291mm","42.7307mm","12.0291mm","42.7307mm","11.0038mm","47.7158mm","T","315.00","STM32F042K6T7"
"SW500","TactSW_RA","5.65mm","60.955mm","5.65mm","64.81mm","3.4mm","62.2mm","T","360.00","Tactile switch R/A"
"S200","416131160804","12.1404mm","42.7851mm","12.1404mm","42.7851mm","13.4874mm","46.8262mm","B","315.00","416131160804"
"R504","0603","3.4mm","56.8mm","3.4mm","56.8mm","2.55mm","56.8mm","T","360.00","10K"
"R503","0603","15mm","55.6mm","15mm","55.6mm","15mm","54.75mm","T","90.00","470R"
"R502","0603","13.4mm","55.6mm","13.4mm","55.6mm","13.4mm","54.75mm","T","90.00","470R"
"R501","0603","11.8mm","55.6mm","11.8mm","55.6mm","11.8mm","54.75mm","T","90.00","470R"
"R500","0603","6.2mm","51mm","6.2mm","51mm","5.35mm","51mm","T","360.00","10K"
"R418","0603","3.4mm","34.8mm","3.4mm","34.8mm","4.25mm","34.8mm","T","180.00","10K"
"R417","0603","27.2mm","21.2mm","27.2mm","21.2mm","26.35mm","21.2mm","B","0.00","56K"
"R416","0603","3.4mm","36mm","3.4mm","36mm","2.55mm","36mm","T","360.00","169K"
